filename,md5,sha256,verdict
B&E&CM.jpg,1a552b3dadc6441cb136c05a119b49fe,e0b91da1bb087f13443490109f8c4c8ee2fa972f5e8f70eea9c67977b5e02361,error
test.txt,d41d8cd98f00b204e9800998ecf8427e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,clean
